Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1985,1,Aguascalientes,1,Abeja,2,Cera,26.000,0.000,1.00,26.000,0
1985,1,Aguascalientes,1,Abeja,7,Miel,148.000,0.000,0.41,60.000,0
1985,1,Aguascalientes,3,Ave     ,1,Carne,4034.000,0.000,0.34,1372.000,0
1985,1,Aguascalientes,3,Ave     ,4,Huevo-plato,2040.000,0.000,0.21,432.000,0
1985,1,Aguascalientes,3,Ave     ,8,Ganado en pie,4658.000,0.000,0.25,1140.280,0
1985,1,Aguascalientes,4,Bovino,1,Carne,5773.000,0.000,0.58,3337.000,0
1985,1,Aguascalientes,4,Bovino,3,Ganado en pie,10200.000,0.000,0.30,3090.600,0
1985,1,Aguascalientes,4,Bovino,6,Leche,160759.000,0.000,0.09,14790.000,0
1985,1,Aguascalientes,6,Caprino,1,Carne,290.000,0.000,0.78,227.000,0
1985,1,Aguascalientes,6,Caprino,3,Ganado en pie,704.000,0.000,0.47,331.160,0
1985,1,Aguascalientes,6,Caprino,6,Leche,1815.000,0.000,0.08,147.000,0
1985,1,Aguascalientes,12,Ovino,1,Carne,195.000,0.000,0.59,115.000,0
1985,1,Aguascalientes,12,Ovino,3,Ganado en pie,385.000,0.000,0.34,128.980,0
1985,1,Aguascalientes,12,Ovino,5,Lana,36.000,0.000,0.31,11.000,0
1985,1,Aguascalientes,14,Porcino,1,Carne,2339.000,0.000,0.60,1403.000,0
1985,1,Aguascalientes,14,Porcino,3,Ganado en pie,3468.000,0.000,0.28,981.440,0
1985,2,Baja California,1,Abeja,2,Cera,20.000,0.000,1.05,21.000,0
1985,2,Baja California,1,Abeja,7,Miel,114.000,0.000,0.41,47.000,0
1985,2,Baja California,3,Ave     ,1,Carne,3109.000,0.000,0.38,1181.000,0
1985,2,Baja California,3,Ave     ,4,Huevo-plato,14999.000,0.000,0.21,3210.000,0
1985,2,Baja California,3,Ave     ,8,Ganado en pie,3678.000,0.000,0.23,838.580,0
1985,2,Baja California,4,Bovino,1,Carne,5439.000,0.000,0.52,2845.000,0
1985,2,Baja California,4,Bovino,3,Ganado en pie,9975.000,0.000,0.39,3910.200,0
1985,2,Baja California,4,Bovino,6,Leche,133946.000,0.000,0.09,11787.000,0
1985,2,Baja California,6,Caprino,1,Carne,354.000,0.000,0.65,230.000,0
1985,2,Baja California,6,Caprino,3,Ganado en pie,1008.000,0.000,0.45,458.040,0
1985,2,Baja California,6,Caprino,6,Leche,2260.000,0.000,0.09,192.000,0
1985,2,Baja California,12,Ovino,1,Carne,197.000,0.000,0.72,142.000,0
1985,2,Baja California,12,Ovino,3,Ganado en pie,561.000,0.000,0.49,272.650,0
1985,2,Baja California,12,Ovino,5,Lana,76.000,0.000,0.33,25.000,0
1985,2,Baja California,14,Porcino,1,Carne,5994.000,0.000,0.36,2158.000,0
1985,2,Baja California,14,Porcino,3,Ganado en pie,8648.000,0.000,0.27,2334.960,0
1985,3,Baja California Sur,1,Abeja,2,Cera,5.000,0.000,1.00,5.000,0
1985,3,Baja California Sur,1,Abeja,7,Miel,29.000,0.000,0.41,12.000,0
1985,3,Baja California Sur,3,Ave     ,1,Carne,2057.000,0.000,0.48,977.000,0
1985,3,Baja California Sur,3,Ave     ,4,Huevo-plato,1775.000,0.000,0.22,387.000,0
1985,3,Baja California Sur,3,Ave     ,8,Ganado en pie,2441.000,0.000,0.27,663.950,0
1985,3,Baja California Sur,4,Bovino,1,Carne,3594.000,0.000,0.59,2117.000,0
1985,3,Baja California Sur,4,Bovino,3,Ganado en pie,6375.000,0.000,0.27,1689.380,0
1985,3,Baja California Sur,4,Bovino,6,Leche,13039.000,0.000,0.09,1160.000,0
1985,3,Baja California Sur,6,Caprino,1,Carne,569.000,0.000,0.65,371.000,0
1985,3,Baja California Sur,6,Caprino,3,Ganado en pie,1715.000,0.000,0.58,991.960,0
1985,3,Baja California Sur,6,Caprino,6,Leche,5392.000,0.000,0.08,448.000,0
1985,3,Baja California Sur,12,Ovino,1,Carne,1.000,0.000,0.67,0.670,0
1985,3,Baja California Sur,12,Ovino,3,Ganado en pie,2.000,0.000,0.39,0.780,0
1985,3,Baja California Sur,14,Porcino,1,Carne,2111.000,0.000,0.46,961.000,0
1985,3,Baja California Sur,14,Porcino,3,Ganado en pie,2790.000,0.000,0.27,739.350,0
1985,4,Campeche,1,Abeja,2,Cera,629.000,0.000,1.06,667.000,0
1985,4,Campeche,1,Abeja,7,Miel,7539.000,0.000,0.38,2865.000,0
1985,4,Campeche,3,Ave     ,1,Carne,4831.000,0.000,0.37,1778.000,0
1985,4,Campeche,3,Ave     ,4,Huevo-plato,1573.000,0.000,0.22,348.000,0
1985,4,Campeche,3,Ave     ,8,Ganado en pie,5591.000,0.000,0.28,1563.240,0
1985,4,Campeche,4,Bovino,1,Carne,7954.000,0.000,0.46,3643.000,0
1985,4,Campeche,4,Bovino,3,Ganado en pie,13464.000,0.000,0.30,3998.810,0
1985,4,Campeche,4,Bovino,6,Leche,43574.000,0.000,0.09,3704.000,0
1985,4,Campeche,6,Caprino,1,Carne,7.000,0.000,0.71,5.000,0
1985,4,Campeche,6,Caprino,3,Ganado en pie,30.000,0.000,0.50,14.980,0
1985,4,Campeche,6,Caprino,6,Leche,34.000,0.000,0.09,3.000,0
1985,4,Campeche,12,Ovino,1,Carne,23.000,0.000,0.74,17.000,0
1985,4,Campeche,12,Ovino,3,Ganado en pie,70.000,0.000,0.51,35.350,0
1985,4,Campeche,12,Ovino,5,Lana,7.000,0.000,0.29,2.000,0
1985,4,Campeche,14,Porcino,1,Carne,6276.000,0.000,0.34,2134.000,0
1985,4,Campeche,14,Porcino,3,Ganado en pie,8742.000,0.000,0.25,2159.270,0
1985,5,Coahuila,1,Abeja,2,Cera,41.000,0.000,1.02,42.000,0
1985,5,Coahuila,1,Abeja,7,Miel,234.000,0.000,0.40,94.000,0
1985,5,Coahuila,3,Ave     ,1,Carne,14045.000,0.000,0.50,7023.000,0
1985,5,Coahuila,3,Ave     ,4,Huevo-plato,25564.000,0.000,0.22,5496.000,0
1985,5,Coahuila,3,Ave     ,8,Ganado en pie,17273.000,0.000,0.35,6114.640,0
1985,5,Coahuila,4,Bovino,1,Carne,19133.000,0.000,0.59,11193.000,0
1985,5,Coahuila,4,Bovino,3,Ganado en pie,35599.000,0.000,0.26,9398.140,0
1985,5,Coahuila,4,Bovino,6,Leche,497379.000,0.000,0.09,44764.000,0
1985,5,Coahuila,6,Caprino,1,Carne,1431.000,0.000,0.95,1362.000,0
1985,5,Coahuila,6,Caprino,3,Ganado en pie,2783.000,0.000,0.55,1531.210,0
1985,5,Coahuila,6,Caprino,6,Leche,29244.000,0.000,0.08,2281.000,0
1985,5,Coahuila,12,Ovino,1,Carne,1757.000,0.000,0.69,1214.000,0
