Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1980,1,Aguascalientes,1,Abeja,2,Cera,21,0,0.06,1.28,0
1980,1,Aguascalientes,1,Abeja,7,Miel,122,0,0.03,3.18,0
1980,1,Aguascalientes,3,Ave     ,1,Carne,2944,0,0.05,133.22,0
1980,1,Aguascalientes,3,Ave     ,4,Huevo-plato,1739,0,0.02,41.39,0
1980,1,Aguascalientes,3,Ave     ,8,Ganado en pie,3533,0,0.03,116.59,0
1980,1,Aguascalientes,4,Bovino,1,Carne,6576,0,0.05,319.16,0
1980,1,Aguascalientes,4,Bovino,3,Ganado en pie,12120,0,0.03,339.36,0
1980,1,Aguascalientes,4,Bovino,6,Leche,127705,0,0.01,1047.18,0
1980,1,Aguascalientes,6,Caprino,1,Carne,253,0,0.07,17.09,0
1980,1,Aguascalientes,6,Caprino,3,Ganado en pie,594,0,0.04,23.17,0
1980,1,Aguascalientes,6,Caprino,6,Leche,1591,0,0.01,9.86,0
1980,1,Aguascalientes,12,Ovino,1,Carne,156,0,0.07,11.3,0
1980,1,Aguascalientes,12,Ovino,3,Ganado en pie,350,0,0.04,14.18,0
1980,1,Aguascalientes,12,Ovino,5,Lana,34,0,0.03,1.03,0
1980,1,Aguascalientes,14,Porcino,1,Carne,1936,0,0.04,79.11,0
1980,1,Aguascalientes,14,Porcino,3,Ganado en pie,2912,0,0.02,58.53,0
1980,2,Baja California,1,Abeja,2,Cera,19,0,0.05,0.94,0
1980,2,Baja California,1,Abeja,7,Miel,120,0,0.02,2.3,0
1980,2,Baja California,3,Ave     ,1,Carne,1942,0,0.04,79.62,0
1980,2,Baja California,3,Ave     ,4,Huevo-plato,16437,0,0.02,374.44,0
1980,2,Baja California,3,Ave     ,8,Ganado en pie,2427,0,0.03,82.52,0
1980,2,Baja California,4,Bovino,1,Carne,5944,0,0.05,317.71,0
1980,2,Baja California,4,Bovino,3,Ganado en pie,12032,0,0.03,397.06,0
1980,2,Baja California,4,Bovino,6,Leche,122958,0,0.01,1063.59,0
1980,2,Baja California,6,Caprino,1,Carne,322,0,0.07,22.23,0
1980,2,Baja California,6,Caprino,3,Ganado en pie,936,0,0.04,37.21,0
1980,2,Baja California,6,Caprino,6,Leche,2161,0,0.01,15.13,0
1980,2,Baja California,12,Ovino,1,Carne,189,0,0.06,11.32,0
1980,2,Baja California,12,Ovino,3,Ganado en pie,462,0,0.04,18.71,0
1980,2,Baja California,12,Ovino,5,Lana,75,0,0.04,2.77,0
1980,2,Baja California,14,Porcino,1,Carne,5420,0,0.04,210.46,0
1980,2,Baja California,14,Porcino,3,Ganado en pie,7200,0,0.03,197.78,0
1980,3,Baja California Sur,1,Abeja,2,Cera,15,0,0.06,0.84,0
1980,3,Baja California Sur,1,Abeja,7,Miel,61,0,0.02,1.4,0
1980,3,Baja California Sur,3,Ave     ,1,Carne,1538,0,0.05,70.13,0
1980,3,Baja California Sur,3,Ave     ,4,Huevo-plato,1896,0,0.02,42.55,0
1980,3,Baja California Sur,3,Ave     ,8,Ganado en pie,1938,0,0.03,63.95,0
1980,3,Baja California Sur,4,Bovino,1,Carne,3653,0,0.05,197.95,0
1980,3,Baja California Sur,4,Bovino,3,Ganado en pie,7266,0,0.04,261.58,0
1980,3,Baja California Sur,4,Bovino,6,Leche,11591,0,0.01,102.93,0
1980,3,Baja California Sur,6,Caprino,1,Carne,501,0,0.07,34.9,0
1980,3,Baja California Sur,6,Caprino,3,Ganado en pie,1540,0,0.04,66.99,0
1980,3,Baja California Sur,6,Caprino,6,Leche,5202,0,0.01,35.53,0
1980,3,Baja California Sur,14,Porcino,1,Carne,2954,0,0.04,108.41,0
1980,3,Baja California Sur,14,Porcino,3,Ganado en pie,3870,0,0.03,108.9,0
1980,4,Campeche,1,Abeja,2,Cera,242,0,0.05,12.34,0
1980,4,Campeche,1,Abeja,7,Miel,10972,0,0.02,219.43,0
1980,4,Campeche,3,Ave     ,1,Carne,3264,0,0.04,140.22,0
1980,4,Campeche,3,Ave     ,4,Huevo-plato,1536,0,0.02,37.08,0
1980,4,Campeche,3,Ave     ,8,Ganado en pie,4196,0,0.03,134.27,0
1980,4,Campeche,4,Bovino,1,Carne,9478,0,0.06,546.12,0
1980,4,Campeche,4,Bovino,3,Ganado en pie,17710,0,0.03,584.43,0
1980,4,Campeche,4,Bovino,6,Leche,38660,0,0.01,345.23,0
1980,4,Campeche,6,Caprino,1,Carne,3,0,0.06,0.17,0
1980,4,Campeche,6,Caprino,3,Ganado en pie,10,0,0.05,0.46,0
1980,4,Campeche,6,Caprino,6,Leche,32,0,0.01,0.22,0
1980,4,Campeche,12,Ovino,1,Carne,17,0,0.07,1.23,0
1980,4,Campeche,12,Ovino,3,Ganado en pie,36,0,0.04,1.49,0
1980,4,Campeche,12,Ovino,5,Lana,6,0,0.03,0.2,0
1980,4,Campeche,14,Porcino,1,Carne,5545,0,0.04,229.9,0
1980,4,Campeche,14,Porcino,3,Ganado en pie,7968,0,0.02,186.85,0
1980,5,Coahuila,1,Abeja,2,Cera,95,0,0.05,5.14,0
1980,5,Coahuila,1,Abeja,7,Miel,399,0,0.03,11.97,0
1980,5,Coahuila,3,Ave     ,1,Carne,10470,0,0.04,421.94,0
1980,5,Coahuila,3,Ave     ,4,Huevo-plato,16305,0,0.03,437.95,0
1980,5,Coahuila,3,Ave     ,8,Ganado en pie,12318,0,0.03,332.59,0
1980,5,Coahuila,4,Bovino,1,Carne,16357,0,0.03,503.95,0
1980,5,Coahuila,4,Bovino,3,Ganado en pie,29127,0,0.03,844.68,0
1980,5,Coahuila,4,Bovino,6,Leche,418730,0,0.01,3358.22,0
1980,5,Coahuila,6,Caprino,1,Carne,1210,0,0.06,76.56,0
1980,5,Coahuila,6,Caprino,3,Ganado en pie,2550,0,0.04,105.19,0
1980,5,Coahuila,6,Caprino,6,Leche,27365,0,0.01,186.36,0
1980,5,Coahuila,12,Ovino,1,Carne,1743,0,0.06,104.77,0
1980,5,Coahuila,12,Ovino,3,Ganado en pie,3535,0,0.04,136.81,0
1980,5,Coahuila,12,Ovino,5,Lana,316,0,0.04,13.25,0
1980,5,Coahuila,14,Porcino,1,Carne,11922,0,0.04,527.55,0
1980,5,Coahuila,14,Porcino,3,Ganado en pie,15548,0,0.02,375.02,0
1980,6,Colima,1,Abeja,2,Cera,46,0,0.06,2.71,0
1980,6,Colima,1,Abeja,7,Miel,581,0,0.03,17.42,0
1980,6,Colima,3,Ave     ,1,Carne,1376,0,0.05,66.27,0
1980,6,Colima,3,Ave     ,4,Huevo-plato,2626,0,0.02,64.28,0
1980,6,Colima,3,Ave     ,8,Ganado en pie,1651,0,0.04,57.79,0
1980,6,Colima,4,Bovino,1,Carne,7670,0,0.06,449.99,0
1980,6,Colima,4,Bovino,3,Ganado en pie,14719,0,0.04,559.32,0
1980,6,Colima,4,Bovino,6,Leche,40332,0,0.01,322.66,0
1980,6,Colima,6,Caprino,1,Carne,134,0,0.06,7.81,0
1980,6,Colima,6,Caprino,3,Ganado en pie,300,0,0.04,11.25,0
1980,6,Colima,6,Caprino,6,Leche,1193,0,0.01,6.92,0
1980,6,Colima,12,Ovino,1,Carne,3,0,0.06,0.19,0
1980,6,Colima,12,Ovino,3,Ganado en pie,6,0,0.04,0.24,0
1980,6,Colima,12,Ovino,5,Lana,1,0,0.04,0.04,0
1980,6,Colima,14,Porcino,1,Carne,3901,0,0.05,184.05,0
1980,6,Colima,14,Porcino,3,Ganado en pie,5529,0,0.03,144.47,0
1980,7,Chiapas,1,Abeja,2,Cera,199,0,0.05,10.13,0
1980,7,Chiapas,1,Abeja,7,Miel,1167,0,0.02,25.67,0
1980,7,Chiapas,3,Ave     ,1,Carne,6947,0,0.05,363.19,0
1980,7,Chiapas,3,Ave     ,4,Huevo-plato,3011,0,0.03,81.9,0
1980,7,Chiapas,3,Ave     ,8,Ganado en pie,8435,0,0.04,345.84,0
1980,7,Chiapas,4,Bovino,1,Carne,98007,0,0.05,5234.59,0
1980,7,Chiapas,4,Bovino,3,Ganado en pie,194285,0,0.03,5439.98,0
1980,7,Chiapas,4,Bovino,6,Leche,300674,0,0.01,2700.05,0
1980,7,Chiapas,6,Caprino,1,Carne,212,0,0.06,12.66,0
1980,7,Chiapas,6,Caprino,3,Ganado en pie,480,0,0.04,19.44,0
1980,7,Chiapas,6,Caprino,6,Leche,1249,0,0.01,7.49,0
1980,7,Chiapas,12,Ovino,1,Carne,1028,0,0.07,74.02,0
1980,7,Chiapas,12,Ovino,3,Ganado en pie,2170,0,0.04,83.98,0
1980,7,Chiapas,12,Ovino,5,Lana,317,0,0.03,10.55,0
1980,7,Chiapas,14,Porcino,1,Carne,20659,0,0.05,944.32,0
1980,7,Chiapas,14,Porcino,3,Ganado en pie,28812,0,0.02,694.95,0
1980,8,Chihuahua,1,Abeja,2,Cera,169,0,0.06,10.66,0
1980,8,Chihuahua,1,Abeja,7,Miel,700,0,0.03,22.4,0
1980,8,Chihuahua,3,Ave     ,1,Carne,1902,0,0.05,96.7,0
1980,8,Chihuahua,3,Ave     ,4,Huevo-plato,11352,0,0.02,272.11,0
1980,8,Chihuahua,3,Ave     ,8,Ganado en pie,2174,0,0.03,69.57,0
1980,8,Chihuahua,4,Bovino,1,Carne,49713,0,0.03,1706.13,0
1980,8,Chihuahua,4,Bovino,3,Ganado en pie,83304,0,0.03,2665.73,0
1980,8,Chihuahua,4,Bovino,6,Leche,381783,0,0.01,3103.9,0
1980,8,Chihuahua,6,Caprino,1,Carne,2338,0,0.07,151.17,0
