Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1982,1,Aguascalientes,1,Abeja,2,Cera,21.000,0.000,0.15,3.150,0
1982,1,Aguascalientes,1,Abeja,7,Miel,145.000,0.000,0.10,14.500,0
1982,1,Aguascalientes,3,Ave     ,1,Carne,3249.000,0.000,0.11,347.640,0
1982,1,Aguascalientes,3,Ave     ,4,Huevo-plato,1897.000,0.000,0.04,81.910,0
1982,1,Aguascalientes,3,Ave     ,8,Ganado en pie,4081.000,0.000,0.07,281.590,0
1982,1,Aguascalientes,4,Bovino,1,Carne,7256.000,0.000,0.11,798.160,0
1982,1,Aguascalientes,4,Bovino,3,Ganado en pie,13532.000,0.000,0.06,825.450,0
1982,1,Aguascalientes,4,Bovino,6,Leche,156802.000,0.000,0.02,2584.100,0
1982,1,Aguascalientes,6,Caprino,1,Carne,275.000,0.000,0.15,40.110,0
1982,1,Aguascalientes,6,Caprino,3,Ganado en pie,621.000,0.000,0.09,56.200,0
1982,1,Aguascalientes,6,Caprino,6,Leche,1812.000,0.000,0.01,10.310,0
1982,1,Aguascalientes,12,Ovino,1,Carne,182.000,0.000,0.15,26.750,0
1982,1,Aguascalientes,12,Ovino,3,Ganado en pie,408.000,0.000,0.08,31.090,0
1982,1,Aguascalientes,12,Ovino,5,Lana,35.000,0.000,0.06,2.240,0
1982,1,Aguascalientes,14,Porcino,1,Carne,2541.000,0.000,0.15,383.690,0
1982,1,Aguascalientes,14,Porcino,3,Ganado en pie,3744.000,0.000,0.06,218.240,0
1982,2,Baja California,1,Abeja,2,Cera,20.000,0.000,0.30,6.000,0
1982,2,Baja California,1,Abeja,7,Miel,127.000,0.000,0.13,16.510,0
1982,2,Baja California,3,Ave     ,1,Carne,2467.000,0.000,0.11,273.840,0
1982,2,Baja California,3,Ave     ,4,Huevo-plato,18277.000,0.000,0.04,723.950,0
1982,2,Baja California,3,Ave     ,8,Ganado en pie,3308.000,0.000,0.08,251.410,0
1982,2,Baja California,4,Bovino,1,Carne,6555.000,0.000,0.12,780.050,0
1982,2,Baja California,4,Bovino,3,Ganado en pie,12954.000,0.000,0.06,803.150,0
1982,2,Baja California,4,Bovino,6,Leche,136225.000,0.000,0.01,1787.270,0
1982,2,Baja California,6,Caprino,1,Carne,336.000,0.000,0.16,53.120,0
1982,2,Baja California,6,Caprino,3,Ganado en pie,800.000,0.000,0.12,92.400,0
1982,2,Baja California,6,Caprino,6,Leche,2261.000,0.000,0.01,23.180,0
1982,2,Baja California,12,Ovino,1,Carne,184.000,0.000,0.17,31.280,0
1982,2,Baja California,12,Ovino,3,Ganado en pie,444.000,0.000,0.09,41.560,0
1982,2,Baja California,12,Ovino,5,Lana,75.000,0.000,0.12,9.230,0
1982,2,Baja California,14,Porcino,1,Carne,6411.000,0.000,0.10,641.100,0
1982,2,Baja California,14,Porcino,3,Ganado en pie,8484.000,0.000,0.05,443.370,0
1982,3,Baja California Sur,1,Abeja,2,Cera,12.000,0.000,0.25,2.960,0
1982,3,Baja California Sur,1,Abeja,7,Miel,37.000,0.000,0.12,4.510,0
1982,3,Baja California Sur,3,Ave     ,1,Carne,1674.000,0.000,0.10,159.030,0
1982,3,Baja California Sur,3,Ave     ,4,Huevo-plato,2030.000,0.000,0.04,84.550,0
1982,3,Baja California Sur,3,Ave     ,8,Ganado en pie,1945.000,0.000,0.07,132.260,0
1982,3,Baja California Sur,4,Bovino,1,Carne,4337.000,0.000,0.11,455.390,0
1982,3,Baja California Sur,4,Bovino,3,Ganado en pie,8568.000,0.000,0.07,599.760,0
1982,3,Baja California Sur,4,Bovino,6,Leche,13328.000,0.000,0.01,189.920,0
1982,3,Baja California Sur,6,Caprino,1,Carne,538.000,0.000,0.14,76.410,0
1982,3,Baja California Sur,6,Caprino,3,Ganado en pie,1323.000,0.000,0.10,128.330,0
1982,3,Baja California Sur,6,Caprino,6,Leche,5406.000,0.000,0.01,59.630,0
1982,3,Baja California Sur,12,Ovino,1,Carne,1.000,0.000,0.19,0.190,0
1982,3,Baja California Sur,12,Ovino,3,Ganado en pie,3.000,0.000,0.09,0.260,0
1982,3,Baja California Sur,14,Porcino,1,Carne,3121.000,0.000,0.09,274.650,0
1982,3,Baja California Sur,14,Porcino,3,Ganado en pie,4032.000,0.000,0.06,240.430,0
1982,4,Campeche,1,Abeja,2,Cera,191.000,0.000,0.30,57.300,0
1982,4,Campeche,1,Abeja,7,Miel,8508.000,0.000,0.06,527.500,0
1982,4,Campeche,3,Ave     ,1,Carne,3663.000,0.000,0.10,369.960,0
1982,4,Campeche,3,Ave     ,4,Huevo-plato,1660.000,0.000,0.06,91.720,0
1982,4,Campeche,3,Ave     ,8,Ganado en pie,4896.000,0.000,0.07,347.620,0
1982,4,Campeche,4,Bovino,1,Carne,9873.000,0.000,0.08,770.090,0
1982,4,Campeche,4,Bovino,3,Ganado en pie,19110.000,0.000,0.06,1051.050,0
1982,4,Campeche,4,Bovino,6,Leche,42561.000,0.000,0.02,652.460,0
1982,4,Campeche,6,Caprino,1,Carne,7.000,0.000,0.13,0.920,0
1982,4,Campeche,6,Caprino,3,Ganado en pie,23.000,0.000,0.12,2.680,0
1982,4,Campeche,6,Caprino,6,Leche,34.000,0.000,0.01,0.360,0
1982,4,Campeche,12,Ovino,1,Carne,21.000,0.000,0.18,3.860,0
1982,4,Campeche,12,Ovino,3,Ganado en pie,68.000,0.000,0.09,5.830,0
1982,4,Campeche,12,Ovino,5,Lana,7.000,0.000,0.06,0.390,0
1982,4,Campeche,14,Porcino,1,Carne,6854.000,0.000,0.10,712.820,0
1982,4,Campeche,14,Porcino,3,Ganado en pie,9523.000,0.000,0.07,663.560,0
1982,5,Coahuila,1,Abeja,2,Cera,84.000,0.000,0.19,15.960,0
1982,5,Coahuila,1,Abeja,7,Miel,293.000,0.000,0.09,25.490,0
1982,5,Coahuila,3,Ave     ,1,Carne,12470.000,0.000,0.11,1321.820,0
1982,5,Coahuila,3,Ave     ,4,Huevo-plato,16817.000,0.000,0.04,637.530,0
1982,5,Coahuila,3,Ave     ,8,Ganado en pie,16430.000,0.000,0.08,1232.250,0
1982,5,Coahuila,4,Bovino,1,Carne,21832.000,0.000,0.10,2095.870,0
1982,5,Coahuila,4,Bovino,3,Ganado en pie,40248.000,0.000,0.06,2575.870,0
1982,5,Coahuila,4,Bovino,6,Leche,400629.000,0.000,0.01,5408.490,0
1982,5,Coahuila,6,Caprino,1,Carne,1348.000,0.000,0.13,173.870,0
1982,5,Coahuila,6,Caprino,3,Ganado en pie,2727.000,0.000,0.09,252.250,0
1982,5,Coahuila,6,Caprino,6,Leche,29394.000,0.000,0.01,357.730,0
1982,5,Coahuila,12,Ovino,1,Carne,1780.000,0.000,0.12,217.160,0
1982,5,Coahuila,12,Ovino,3,Ganado en pie,3708.000,0.000,0.08,304.800,0
1982,5,Coahuila,12,Ovino,5,Lana,329.000,0.000,0.09,30.270,0
1982,5,Coahuila,14,Porcino,1,Carne,15617.000,0.000,0.15,2311.320,0
1982,5,Coahuila,14,Porcino,3,Ganado en pie,20273.000,0.000,0.05,1018.720,0
1982,6,Colima,1,Abeja,2,Cera,52.000,0.000,0.15,7.800,0
1982,6,Colima,1,Abeja,7,Miel,620.000,0.000,0.08,46.500,0
1982,6,Colima,3,Ave     ,1,Carne,1327.000,0.000,0.12,157.910,0
1982,6,Colima,3,Ave     ,4,Huevo-plato,2778.000,0.000,0.05,137.900,0
1982,6,Colima,3,Ave     ,8,Ganado en pie,1658.000,0.000,0.08,124.350,0
1982,6,Colima,4,Bovino,1,Carne,8412.000,0.000,0.10,858.020,0
1982,6,Colima,4,Bovino,3,Ganado en pie,17014.000,0.000,0.08,1310.080,0
1982,6,Colima,4,Bovino,6,Leche,36858.000,0.000,0.02,600.790,0
1982,6,Colima,6,Caprino,1,Carne,145.000,0.000,0.14,20.460,0
1982,6,Colima,6,Caprino,3,Ganado en pie,325.000,0.000,0.09,30.390,0
1982,6,Colima,6,Caprino,6,Leche,1318.000,0.000,0.01,13.640,0
1982,6,Colima,12,Ovino,1,Carne,4.000,0.000,0.13,0.520,0
1982,6,Colima,12,Ovino,3,Ganado en pie,10.000,0.000,0.08,0.770,0
1982,6,Colima,12,Ovino,5,Lana,2.000,0.000,0.12,0.240,0
1982,6,Colima,14,Porcino,1,Carne,4497.000,0.000,0.16,737.510,0
1982,6,Colima,14,Porcino,3,Ganado en pie,6230.000,0.000,0.06,367.320,0
1982,7,Chiapas,1,Abeja,2,Cera,198.000,0.000,0.17,34.250,0
1982,7,Chiapas,1,Abeja,7,Miel,1061.000,0.000,0.06,67.900,0
1982,7,Chiapas,3,Ave     ,1,Carne,7385.000,0.000,0.13,974.820,0
1982,7,Chiapas,3,Ave     ,4,Huevo-plato,3232.000,0.000,0.04,134.610,0
1982,7,Chiapas,3,Ave     ,8,Ganado en pie,9186.000,0.000,0.08,753.250,0
1982,7,Chiapas,4,Bovino,1,Carne,102013.000,0.000,0.08,8059.030,0
1982,7,Chiapas,4,Bovino,3,Ganado en pie,198912.000,0.000,0.05,9547.780,0
1982,7,Chiapas,4,Bovino,6,Leche,317508.000,0.000,0.02,4734.040,0
1982,7,Chiapas,6,Caprino,1,Carne,228.000,0.000,0.11,25.980,0
1982,7,Chiapas,6,Caprino,3,Ganado en pie,486.000,0.000,0.09,44.960,0
1982,7,Chiapas,6,Caprino,6,Leche,1361.000,0.000,0.01,15.830,0
1982,7,Chiapas,12,Ovino,1,Carne,1080.000,0.000,0.09,98.280,0
1982,7,Chiapas,12,Ovino,3,Ganado en pie,2257.000,0.000,0.08,177.400,0
1982,7,Chiapas,12,Ovino,5,Lana,343.000,0.000,0.07,22.300,0
1982,7,Chiapas,14,Porcino,1,Carne,21605.000,0.000,0.16,3456.800,0
1982,7,Chiapas,14,Porcino,3,Ganado en pie,30668.000,0.000,0.07,2034.210,0
1982,8,Chihuahua,1,Abeja,2,Cera,146.000,0.000,0.20,29.200,0
1982,8,Chihuahua,1,Abeja,7,Miel,497.000,0.000,0.18,86.980,0
1982,8,Chihuahua,3,Ave     ,1,Carne,2496.000,0.000,0.10,252.100,0
1982,8,Chihuahua,3,Ave     ,4,Huevo-plato,11673.000,0.000,0.05,587.390,0
1982,8,Chihuahua,3,Ave     ,8,Ganado en pie,3123.000,0.000,0.07,206.120,0
1982,8,Chihuahua,4,Bovino,1,Carne,64041.000,0.000,0.09,6019.850,0
1982,8,Chihuahua,4,Bovino,3,Ganado en pie,114504.000,0.000,0.07,7786.270,0
1982,8,Chihuahua,4,Bovino,6,Leche,378403.000,0.000,0.01,5327.910,0
1982,8,Chihuahua,6,Caprino,1,Carne,2436.000,0.000,0.15,362.930,0
1982,8,Chihuahua,6,Caprino,3,Ganado en pie,6048.000,0.000,0.09,556.420,0
1982,8,Chihuahua,6,Caprino,6,Leche,13190.000,0.000,0.01,138.100,0
1982,8,Chihuahua,12,Ovino,1,Carne,692.000,0.000,0.17,114.870,0
1982,8,Chihuahua,12,Ovino,3,Ganado en pie,1640.000,0.000,0.08,123.000,0
1982,8,Chihuahua,12,Ovino,5,Lana,185.000,0.000,0.09,16.650,0
1982,8,Chihuahua,14,Porcino,1,Carne,20614.000,0.000,0.10,1978.940,0
1982,8,Chihuahua,14,Porcino,3,Ganado en pie,28670.000,0.000,0.05,1536.710,0
1982,9,Distrito Federal,1,Abeja,2,Cera,10.000,0.000,0.40,4.000,0
1982,9,Distrito Federal,1,Abeja,7,Miel,28.000,0.000,0.09,2.580,0
1982,9,Distrito Federal,3,Ave     ,1,Carne,806.000,0.000,0.10,81.410,0
1982,9,Distrito Federal,3,Ave     ,4,Huevo-plato,1527.000,0.000,0.05,77.360,0
1982,9,Distrito Federal,3,Ave     ,8,Ganado en pie,1005.000,0.000,0.07,72.360,0
1982,9,Distrito Federal,4,Bovino,1,Carne,3860.000,0.000,0.10,378.280,0
1982,9,Distrito Federal,4,Bovino,3,Ganado en pie,7486.000,0.000,0.08,591.390,0
1982,9,Distrito Federal,4,Bovino,6,Leche,132864.000,0.000,0.01,1727.230,0
1982,9,Distrito Federal,6,Caprino,1,Carne,80.000,0.000,0.17,13.620,0
1982,9,Distrito Federal,6,Caprino,3,Ganado en pie,168.000,0.000,0.12,20.330,0
1982,9,Distrito Federal,6,Caprino,6,Leche,422.000,0.000,0.01,5.060,0
1982,9,Distrito Federal,12,Ovino,1,Carne,188.000,0.000,0.15,28.580,0
1982,9,Distrito Federal,12,Ovino,3,Ganado en pie,468.000,0.000,0.11,50.260,0
1982,9,Distrito Federal,12,Ovino,5,Lana,58.000,0.000,0.06,3.360,0
1982,9,Distrito Federal,14,Porcino,1,Carne,9187.000,0.000,0.10,881.950,0
1982,9,Distrito Federal,14,Porcino,3,Ganado en pie,12480.000,0.000,0.07,911.410,0
1982,10,Durango,1,Abeja,2,Cera,78.000,0.000,0.28,21.840,0
1982,10,Durango,1,Abeja,7,Miel,740.000,0.000,0.10,74.000,0
1982,10,Durango,3,Ave     ,1,Carne,9629.000,0.000,0.09,905.130,0
1982,10,Durango,3,Ave     ,4,Huevo-plato,24107.000,0.000,0.05,1225.360,0
1982,10,Durango,3,Ave     ,8,Ganado en pie,12067.000,0.000,0.06,772.290,0
1982,10,Durango,4,Bovino,1,Carne,32010.000,0.000,0.10,3201.000,0
1982,10,Durango,4,Bovino,3,Ganado en pie,57195.000,0.000,0.08,4689.990,0
1982,10,Durango,4,Bovino,6,Leche,353189.000,0.000,0.02,5870.000,0
1982,10,Durango,6,Caprino,1,Carne,1072.000,0.000,0.16,166.140,0
1982,10,Durango,6,Caprino,3,Ganado en pie,2484.000,0.000,0.08,198.720,0
1982,10,Durango,6,Caprino,6,Leche,11324.000,0.000,0.01,147.210,0
1982,10,Durango,12,Ovino,1,Carne,1131.000,0.000,0.14,162.860,0
1982,10,Durango,12,Ovino,3,Ganado en pie,2470.000,0.000,0.06,155.610,0
1982,10,Durango,12,Ovino,5,Lana,257.000,0.000,0.06,15.420,0
1982,10,Durango,14,Porcino,1,Carne,24529.000,0.000,0.12,2845.360,0
1982,10,Durango,14,Porcino,3,Ganado en pie,33033.000,0.000,0.07,2279.610,0
1982,11,Guanajuato,1,Abeja,2,Cera,84.000,0.000,0.20,16.800,0
1982,11,Guanajuato,1,Abeja,7,Miel,869.000,0.000,0.09,78.210,0
1982,11,Guanajuato,3,Ave     ,1,Carne,28774.000,0.000,0.13,3625.520,0
1982,11,Guanajuato,3,Ave     ,4,Huevo-plato,25404.000,0.000,0.05,1364.700,0
1982,11,Guanajuato,3,Ave     ,8,Ganado en pie,37128.000,0.000,0.09,3193.010,0
1982,11,Guanajuato,4,Bovino,1,Carne,35845.000,0.000,0.13,4624.010,0
1982,11,Guanajuato,4,Bovino,3,Ganado en pie,66990.000,0.000,0.06,3751.440,0
1982,11,Guanajuato,4,Bovino,6,Leche,429308.000,0.000,0.01,5581.000,0
1982,11,Guanajuato,6,Caprino,1,Carne,1285.000,0.000,0.14,176.090,0
1982,11,Guanajuato,6,Caprino,3,Ganado en pie,2574.000,0.000,0.12,297.300,0
1982,11,Guanajuato,6,Caprino,6,Leche,10909.000,0.000,0.01,135.490,0
1982,11,Guanajuato,12,Ovino,1,Carne,812.000,0.000,0.15,120.180,0
1982,11,Guanajuato,12,Ovino,3,Ganado en pie,1813.000,0.000,0.10,177.310,0
1982,11,Guanajuato,12,Ovino,5,Lana,246.000,0.000,0.05,11.320,0
1982,11,Guanajuato,14,Porcino,1,Carne,92632.000,0.000,0.16,14357.960,0
1982,11,Guanajuato,14,Porcino,3,Ganado en pie,120640.000,0.000,0.06,6951.280,0
1982,12,Guerrero,1,Abeja,2,Cera,516.000,0.000,0.28,144.480,0
1982,12,Guerrero,1,Abeja,7,Miel,2843.000,0.000,0.11,312.730,0
1982,12,Guerrero,3,Ave     ,1,Carne,8598.000,0.000,0.09,739.430,0
1982,12,Guerrero,3,Ave     ,4,Huevo-plato,14032.000,0.000,0.05,684.620,0
1982,12,Guerrero,3,Ave     ,8,Ganado en pie,10939.000,0.000,0.06,612.580,0
1982,12,Guerrero,4,Bovino,1,Carne,42221.000,0.000,0.11,4475.430,0
1982,12,Guerrero,4,Bovino,3,Ganado en pie,82784.000,0.000,0.06,4801.470,0
1982,12,Guerrero,4,Bovino,6,Leche,92154.000,0.000,0.02,1689.180,0
