Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1997,1,Aguascalientes,1,Abeja,2,Cera,3,0,12,36,0
1997,1,Aguascalientes,1,Abeja,7,Miel,159,0,14.21,2259,0
1997,1,Aguascalientes,3,Ave     ,1,Carne,32336,1.71,11.32,366006,18910000
1997,1,Aguascalientes,3,Ave     ,4,Huevo-plato,10052,0,7.57,76092,0
1997,1,Aguascalientes,3,Ave     ,8,Ganado en pie,40467.4,2.14,8.52,344785,0
1997,1,Aguascalientes,4,Bovino,1,Carne,6947,174,18.52,128666,40000
1997,1,Aguascalientes,4,Bovino,3,Ganado en pie,13080,327,11.59,151627,0
1997,1,Aguascalientes,4,Bovino,6,Leche,348013,0,2.18,757334,0
1997,1,Aguascalientes,6,Caprino,1,Carne,282,18,27.17,7662,16000
1997,1,Aguascalientes,6,Caprino,3,Ganado en pie,560,35,12.16,6812,0
1997,1,Aguascalientes,12,Ovino,1,Carne,223,18,29.33,6540,12000
1997,1,Aguascalientes,12,Ovino,3,Ganado en pie,420,35,13.3,5584,0
1997,1,Aguascalientes,12,Ovino,5,Lana,26,0,3.85,100,0
1997,1,Aguascalientes,14,Porcino,1,Carne,4533,67,18.79,85179,68000
1997,1,Aguascalientes,14,Porcino,3,Ganado en pie,6052,89,11.34,68637,0
1997,2,Baja California,1,Abeja,2,Cera,14,0,21,294,0
1997,2,Baja California,1,Abeja,7,Miel,198,0,24.16,4784,0
1997,2,Baja California,3,Ave     ,1,Carne,782,1.56,13.31,10408,501000
1997,2,Baja California,3,Ave     ,4,Huevo-plato,8267,0,8.08,66804,0
1997,2,Baja California,3,Ave     ,8,Ganado en pie,1037.07,2.07,8.42,8728,0
1997,2,Baja California,4,Bovino,1,Carne,52452,230,18.52,971355,228000
1997,2,Baja California,4,Bovino,3,Ganado en pie,95988,421,11.08,1063441,0
1997,2,Baja California,4,Bovino,6,Leche,185061,0,3.39,627213,0
1997,2,Baja California,6,Caprino,1,Carne,343,15,24.31,8337,22000
1997,2,Baja California,6,Caprino,3,Ganado en pie,726,33,11.73,8519,0
