Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1988,1,Aguascalientes,1,Abeja,2,Cera,15.000,0.000,5.07,76.000,0
1988,1,Aguascalientes,1,Abeja,7,Miel,135.000,0.000,3.38,456.000,0
1988,1,Aguascalientes,3,Ave     ,1,Carne,9163.000,0.000,4.45,40766.000,0
1988,1,Aguascalientes,3,Ave     ,4,Huevo-plato,5212.000,0.000,1.87,9741.000,0
1988,1,Aguascalientes,3,Ave     ,8,Ganado en pie,11319.000,0.000,2.38,26939.220,0
1988,1,Aguascalientes,4,Bovino,1,Carne,7556.000,0.000,4.97,37561.000,0
1988,1,Aguascalientes,4,Bovino,3,Ganado en pie,13875.000,0.000,2.55,35311.880,0
1988,1,Aguascalientes,4,Bovino,6,Leche,150013.000,0.000,0.53,79507.000,0
1988,1,Aguascalientes,6,Caprino,1,Carne,143.000,0.000,6.14,878.000,0
1988,1,Aguascalientes,6,Caprino,3,Ganado en pie,248.000,0.000,3.20,793.600,0
1988,1,Aguascalientes,6,Caprino,6,Leche,449.000,0.000,0.56,251.000,0
1988,1,Aguascalientes,12,Ovino,1,Carne,150.000,0.000,6.48,972.000,0
1988,1,Aguascalientes,12,Ovino,3,Ganado en pie,380.000,0.000,3.20,1216.000,0
1988,1,Aguascalientes,12,Ovino,5,Lana,43.000,0.000,3.74,161.000,0
1988,1,Aguascalientes,14,Porcino,1,Carne,3219.000,0.000,6.13,19739.000,0
1988,1,Aguascalientes,14,Porcino,3,Ganado en pie,4750.000,0.000,3.08,14639.500,0
1988,2,Baja California,3,Ave     ,1,Carne,4112.000,0.000,3.55,14589.000,0
1988,2,Baja California,3,Ave     ,4,Huevo-plato,16184.000,0.000,1.77,28597.000,0
1988,2,Baja California,3,Ave     ,8,Ganado en pie,5253.000,0.000,2.97,15599.310,0
1988,2,Baja California,4,Bovino,1,Carne,23423.000,0.000,4.98,116576.000,0
1988,2,Baja California,4,Bovino,3,Ganado en pie,41496.000,0.000,2.59,107433.140,0
1988,2,Baja California,4,Bovino,6,Leche,205641.000,0.000,0.55,112280.000,0
1988,2,Baja California,6,Caprino,1,Carne,174.000,0.000,5.60,974.000,0
1988,2,Baja California,6,Caprino,3,Ganado en pie,407.000,0.000,3.08,1254.780,0
1988,2,Baja California,6,Caprino,6,Leche,764.000,0.000,0.56,429.000,0
1988,2,Baja California,12,Ovino,1,Carne,12.000,0.000,5.75,69.000,0
1988,2,Baja California,12,Ovino,3,Ganado en pie,39.000,0.000,2.94,114.580,0
1988,2,Baja California,14,Porcino,1,Carne,6421.000,0.000,3.87,24836.000,0
1988,2,Baja California,14,Porcino,3,Ganado en pie,8648.000,0.000,2.65,22934.500,0
1988,3,Baja California Sur,1,Abeja,2,Cera,9.000,0.000,5.11,46.000,0
1988,3,Baja California Sur,1,Abeja,7,Miel,92.000,0.000,3.41,314.000,0
1988,3,Baja California Sur,3,Ave     ,1,Carne,1830.000,0.000,3.80,6954.000,0
1988,3,Baja California Sur,3,Ave     ,4,Huevo-plato,4372.000,0.000,1.95,8530.000,0
1988,3,Baja California Sur,3,Ave     ,8,Ganado en pie,2421.000,0.000,3.00,7263.000,0
1988,3,Baja California Sur,4,Bovino,1,Carne,5145.000,0.000,4.42,22725.000,0
1988,3,Baja California Sur,4,Bovino,3,Ganado en pie,10005.000,0.000,2.18,21800.900,0
1988,3,Baja California Sur,4,Bovino,6,Leche,13586.000,0.000,0.57,7744.000,0
1988,3,Baja California Sur,6,Caprino,1,Carne,656.000,0.000,3.21,2104.000,0
1988,3,Baja California Sur,6,Caprino,3,Ganado en pie,1813.000,0.000,2.13,3852.630,0
1988,3,Baja California Sur,6,Caprino,6,Leche,441.000,0.000,0.56,247.000,0
1988,3,Baja California Sur,12,Ovino,1,Carne,36.000,0.000,4.69,169.000,0
1988,3,Baja California Sur,12,Ovino,3,Ganado en pie,114.000,0.000,2.33,265.960,0
1988,3,Baja California Sur,14,Porcino,1,Carne,862.000,0.000,4.26,3672.000,0
1988,3,Baja California Sur,14,Porcino,3,Ganado en pie,1170.000,0.000,2.83,3314.610,0
1988,4,Campeche,1,Abeja,2,Cera,327.000,0.000,5.02,1640.000,0
1988,4,Campeche,1,Abeja,7,Miel,5684.000,0.000,3.83,21787.000,0
1988,4,Campeche,3,Ave     ,1,Carne,4702.000,0.000,4.26,20021.000,0
1988,4,Campeche,3,Ave     ,4,Huevo-plato,3261.000,0.000,1.91,6212.000,0
1988,4,Campeche,3,Ave     ,8,Ganado en pie,6500.000,0.000,2.94,19120.400,0
1988,4,Campeche,4,Bovino,1,Carne,18092.000,0.000,4.56,82554.000,0
1988,4,Campeche,4,Bovino,3,Ganado en pie,33375.000,0.000,2.56,85573.500,0
