Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1981,1,Aguascalientes,1,Abeja,2,Cera,23,0,0.08,1.81,0
1981,1,Aguascalientes,1,Abeja,7,Miel,144,0,0.03,3.89,0
1981,1,Aguascalientes,3,Ave     ,1,Carne,3131,0,0.05,169.63,0
1981,1,Aguascalientes,3,Ave     ,4,Huevo-plato,1789,0,0.03,54.14,0
1981,1,Aguascalientes,3,Ave     ,8,Ganado en pie,3890,0,0.04,147.82,0
1981,1,Aguascalientes,4,Bovino,1,Carne,6921,0,0.07,447.08,0
1981,1,Aguascalientes,4,Bovino,3,Ganado en pie,12736,0,0.04,445.76,0
1981,1,Aguascalientes,4,Bovino,6,Leche,130110,0,0.01,1366.16,0
1981,1,Aguascalientes,6,Caprino,1,Carne,265,0,0.11,28.03,0
1981,1,Aguascalientes,6,Caprino,3,Ganado en pie,598,0,0.06,33.37,0
1981,1,Aguascalientes,6,Caprino,6,Leche,1768,0,0.01,11.49,0
1981,1,Aguascalientes,12,Ovino,1,Carne,175,0,0.11,18.98,0
1981,1,Aguascalientes,12,Ovino,3,Ganado en pie,407,0,0.04,16.12,0
1981,1,Aguascalientes,12,Ovino,5,Lana,35,0,0.04,1.4,0
1981,1,Aguascalientes,14,Porcino,1,Carne,2390,0,0.05,119.51,0
1981,1,Aguascalientes,14,Porcino,3,Ganado en pie,3502,0,0.03,89.16,0
1981,2,Baja California,1,Abeja,2,Cera,22,0,0.07,1.6,0
1981,2,Baja California,1,Abeja,7,Miel,140,0,0.03,4.62,0
1981,2,Baja California,3,Ave     ,1,Carne,2186,0,0.05,104.93,0
1981,2,Baja California,3,Ave     ,4,Huevo-plato,17042,0,0.03,509.9,0
1981,2,Baja California,3,Ave     ,8,Ganado en pie,2907,0,0.03,95.93,0
1981,2,Baja California,4,Bovino,1,Carne,6281,0,0.06,368.73,0
1981,2,Baja California,4,Bovino,3,Ganado en pie,12375,0,0.04,482.63,0
1981,2,Baja California,4,Bovino,6,Leche,132420,0,0.01,1430.14,0
1981,2,Baja California,6,Caprino,1,Carne,377,0,0.09,35.16,0
1981,2,Baja California,6,Caprino,3,Ganado en pie,875,0,0.08,70.35,0
1981,2,Baja California,6,Caprino,6,Leche,2221,0,0.01,18.52,0
1981,2,Baja California,12,Ovino,1,Carne,179,0,0.1,17.95,0
1981,2,Baja California,12,Ovino,3,Ganado en pie,455,0,0.04,19.66,0
1981,2,Baja California,12,Ovino,5,Lana,74,0,0.05,3.59,0
1981,2,Baja California,14,Porcino,1,Carne,6222,0,0.05,329.78,0
1981,2,Baja California,14,Porcino,3,Ganado en pie,8137,0,0.03,212.62,0
1981,3,Baja California Sur,1,Abeja,2,Cera,17,0,0.07,1.25,0
1981,3,Baja California Sur,1,Abeja,7,Miel,67,0,0.03,2,0
1981,3,Baja California Sur,3,Ave     ,1,Carne,1634,0,0.06,94.32,0
1981,3,Baja California Sur,3,Ave     ,4,Huevo-plato,1951,0,0.03,59.04,0
