Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,251.302,0.000,45.53,11440.900,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,117119.000,1.519,33.08,3873830.000,77099986
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo-plato,3060.660,0.000,23.08,70630.700,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,156338.000,2.028,23.55,3681510.000,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,10411.800,251.760,80.69,840173.000,41356
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,18993.600,459.271,42.94,815500.000,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,104882.000,0.000,6.23,653418.000,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,78.630,22.162,65.24,5130.120,3548
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,151.058,42.576,32.80,4954.510,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,348.190,25.672,75.61,26326.600,13563
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,660.111,48.670,35.89,23691.400,0
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,772.907,84.944,43.28,33448.100,9099
2020,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1019.340,112.028,26.64,27157.800,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,45.169,0.000,45.53,2056.380,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,1,Carne,43563.600,1.527,33.03,1439100.000,28522752
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,8,Ganado en pie,57581.500,2.019,23.41,1347780.000,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,543.673,249.049,81.29,44195.700,2183
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,996.838,456.637,43.03,42891.400,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,35927.000,0.000,6.17,221756.000,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,45.310,20.521,65.22,2955.310,2208
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,86.983,39.394,32.89,2860.760,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,51.490,24.719,75.27,3875.650,2083
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,99.984,48.000,35.27,3526.440,0
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,5528.080,84.883,43.26,239129.000,65126
2020,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,7290.310,111.942,26.65,194323.000,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,13.797,0.000,45.53,628.125,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,5865.320,252.380,80.09,469734.000,23240
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,10777.500,463.748,42.29,455758.000,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,31539.500,0.000,6.18,194807.000,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.620,21.301,65.30,171.095,123
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,5.017,40.789,32.53,163.217,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,16.310,25.054,75.36,1229.120,651
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,31.085,47.750,35.37,1099.480,0
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,67.828,86.405,41.57,2819.500,785
2020,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,96.673,123.150,25.33,2448.290,0
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,23.778,0.000,45.53,1082.530,0
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,1,Carne,19187.000,1.532,33.02,633459.000,12523962
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,8,Ganado en pie,25284.300,2.019,23.91,604634.000,0
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,3407.380,250.616,80.22,273330.000,13596
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,6273.890,461.451,42.24,265011.000,0
2020,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,24510.300,0.000,6.17,151340.000,0
