Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1984,1,Aguascalientes,1,Abeja,2,Cera,26.000,0.000,0.40,10.350,0
1984,1,Aguascalientes,1,Abeja,7,Miel,146.000,0.000,0.32,46.520,0
1984,1,Aguascalientes,3,Ave     ,1,Carne,3516.000,0.000,0.32,1111.060,0
1984,1,Aguascalientes,3,Ave     ,4,Huevo-plato,2017.000,0.000,0.14,271.570,0
1984,1,Aguascalientes,3,Ave     ,8,Ganado en pie,4298.000,0.000,0.27,1141.120,0
1984,1,Aguascalientes,4,Bovino,1,Carne,5674.000,0.000,0.24,1333.390,0
1984,1,Aguascalientes,4,Bovino,3,Ganado en pie,10665.000,0.000,0.18,1866.380,0
1984,1,Aguascalientes,4,Bovino,6,Leche,156419.000,0.000,0.05,7135.840,0
1984,1,Aguascalientes,6,Caprino,1,Carne,252.000,0.000,0.34,85.710,0
1984,1,Aguascalientes,6,Caprino,3,Ganado en pie,513.000,0.000,0.24,123.120,0
1984,1,Aguascalientes,6,Caprino,6,Leche,1686.000,0.000,0.05,75.880,0
1984,1,Aguascalientes,12,Ovino,1,Carne,162.000,0.000,0.36,58.320,0
1984,1,Aguascalientes,12,Ovino,3,Ganado en pie,350.000,0.000,0.28,98.700,0
1984,1,Aguascalientes,12,Ovino,5,Lana,28.000,0.000,0.21,5.950,0
1984,1,Aguascalientes,14,Porcino,1,Carne,2633.000,0.000,0.34,882.060,0
1984,1,Aguascalientes,14,Porcino,3,Ganado en pie,3838.000,0.000,0.19,710.030,0
1984,2,Baja California,1,Abeja,2,Cera,20.000,0.000,0.37,7.370,0
1984,2,Baja California,1,Abeja,7,Miel,113.000,0.000,0.29,33.230,0
1984,2,Baja California,3,Ave     ,1,Carne,2689.000,0.000,0.26,689.680,0
1984,2,Baja California,3,Ave     ,4,Huevo-plato,19524.000,0.000,0.14,2675.180,0
1984,2,Baja California,3,Ave     ,8,Ganado en pie,3585.000,0.000,0.18,648.530,0
1984,2,Baja California,4,Bovino,1,Carne,5346.000,0.000,0.30,1614.490,0
1984,2,Baja California,4,Bovino,3,Ganado en pie,10368.000,0.000,0.23,2353.540,0
1984,2,Baja California,4,Bovino,6,Leche,128752.000,0.000,0.06,7315.690,0
1984,2,Baja California,6,Caprino,1,Carne,307.000,0.000,0.40,122.920,0
1984,2,Baja California,6,Caprino,3,Ganado en pie,754.000,0.000,0.20,147.030,0
1984,2,Baja California,6,Caprino,6,Leche,2100.000,0.000,0.04,82.580,0
1984,2,Baja California,12,Ovino,1,Carne,164.000,0.000,0.40,65.750,0
1984,2,Baja California,12,Ovino,3,Ganado en pie,408.000,0.000,0.31,126.070,0
1984,2,Baja California,12,Ovino,5,Lana,60.000,0.000,0.33,19.860,0
1984,2,Baja California,14,Porcino,1,Carne,6745.000,0.000,0.24,1612.060,0
