Nomestado,Valor,Volumen,Precio,Asacrificado,Anio,Cveestado,Nomespecie,Nomproducto,Cveespecie,Cveproducto
Tamaulipas,391.72,13.99,28.0,2000.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,432.0,24.0,18.0,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,15398.88,733.28,21.0,9777.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,13687.8,977.7,14.0,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,33104.392,1043.415,31.73,5391.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,35379.558,1995.71,17.73,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,1026.675,205.335,5.0,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,1530.008,49.61,30.84,3000.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,1757.726,101.359,17.34,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,56.58,9.43,6.0,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,3919.689,126.051,31.1,5885.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,3967.914,228.293,17.38,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,15187.313,483.015,31.44,5571.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,10227.425,583.263,17.54,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,3247.412,101.72,31.93,542.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,3538.716,199.285,17.76,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,92.925,18.585,5.0,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,257.768,8.281,31.13,491.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,281.729,16.122,17.48,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,10.41,1.735,6.0,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,3729.759,118.73,31.41,5394.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,3255.303,189.025,17.22,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,10247.481,327.721,31.27,3928.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,6912.532,410.857,16.83,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,4420.517,140.98,31.36,730.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,4685.746,269.897,17.36,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,72.804,14.46,5.04,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,158.658,5.123,30.97,312.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,181.658,10.397,17.47,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,7.996,1.321,6.05,0.0,2006.0,28.0,Caprino,Leche,6.0,6.0
Tamaulipas,2744.586,87.69,31.3,4161.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,2671.462,155.315,17.2,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,14591.961,467.124,31.24,5487.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,9849.449,567.113,17.37,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,82.088,5.804,14.14,3726.0,2006.0,28.0,Ave,Carne,3.0,1.0
Tamaulipas,74.432,8.03,9.27,0.0,2006.0,28.0,Ave,Huevo-plato,3.0,4.0
Tamaulipas,64.111,6.982,9.18,0.0,2006.0,28.0,Ave,Ganado en pie,3.0,8.0
