Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1992,1,Aguascalientes,1,Abeja,2,Cera,12.000,0.000,4.25,51.000,0
1992,1,Aguascalientes,1,Abeja,7,Miel,150.000,0.000,3.63,544.950,0
1992,1,Aguascalientes,3,Ave     ,1,Carne,16768.000,0.000,5.99,100356.480,0
1992,1,Aguascalientes,3,Ave     ,4,Huevo-plato,4800.000,0.000,2.73,13080.000,0
1992,1,Aguascalientes,3,Ave     ,8,Ganado en pie,20960.000,0.000,3.48,72919.840,0
1992,1,Aguascalientes,4,Bovino,1,Carne,5032.000,0.000,8.79,44241.340,0
1992,1,Aguascalientes,4,Bovino,3,Ganado en pie,9499.000,0.000,4.83,45889.670,0
1992,1,Aguascalientes,4,Bovino,6,Leche,217599.000,0.000,0.99,214987.810,0
1992,1,Aguascalientes,6,Caprino,1,Carne,302.000,0.000,10.25,3096.100,0
1992,1,Aguascalientes,6,Caprino,3,Ganado en pie,660.000,0.000,4.58,3020.160,0
1992,1,Aguascalientes,12,Ovino,1,Carne,210.000,0.000,11.00,2310.000,0
1992,1,Aguascalientes,12,Ovino,3,Ganado en pie,518.000,0.000,4.83,2502.980,0
1992,1,Aguascalientes,12,Ovino,5,Lana,41.000,0.000,4.59,187.990,0
1992,1,Aguascalientes,14,Porcino,1,Carne,4418.000,0.000,8.63,38122.920,0
1992,1,Aguascalientes,14,Porcino,3,Ganado en pie,6208.000,0.000,4.18,25968.060,0
1992,2,Baja California,3,Ave     ,1,Carne,1069.000,0.000,4.97,5315.070,0
1992,2,Baja California,3,Ave     ,4,Huevo-plato,16139.000,0.000,2.58,41557.930,0
1992,2,Baja California,3,Ave     ,8,Ganado en pie,1426.000,0.000,4.22,6013.440,0
1992,2,Baja California,4,Bovino,1,Carne,44678.000,0.000,8.05,359836.610,0
1992,2,Baja California,4,Bovino,3,Ganado en pie,81576.000,0.000,4.48,365623.630,0
1992,2,Baja California,4,Bovino,6,Leche,172525.000,0.000,1.05,180288.630,0
1992,2,Baja California,6,Caprino,1,Carne,292.000,0.000,10.90,3181.920,0
1992,2,Baja California,6,Caprino,3,Ganado en pie,864.000,0.000,4.69,4047.840,0
1992,2,Baja California,12,Ovino,1,Carne,46.000,0.000,10.87,500.020,0
1992,2,Baja California,12,Ovino,3,Ganado en pie,117.000,0.000,6.00,702.000,0
1992,2,Baja California,14,Porcino,1,Carne,4503.000,0.000,6.28,28292.350,0
1992,2,Baja California,14,Porcino,3,Ganado en pie,6175.000,0.000,4.36,26910.650,0
1992,3,Baja California Sur,1,Abeja,2,Cera,6.000,0.000,4.67,28.000,0
1992,3,Baja California Sur,1,Abeja,7,Miel,127.000,0.000,3.69,469.010,0
1992,3,Baja California Sur,3,Ave     ,1,Carne,722.000,0.000,4.49,3244.670,0
1992,3,Baja California Sur,3,Ave     ,4,Huevo-plato,3396.000,0.000,2.78,9440.880,0
1992,3,Baja California Sur,3,Ave     ,8,Ganado en pie,947.000,0.000,4.38,4148.810,0
1992,3,Baja California Sur,4,Bovino,1,Carne,4436.000,0.000,7.91,35071.020,0
1992,3,Baja California Sur,4,Bovino,3,Ganado en pie,8184.000,0.000,4.28,34986.600,0
1992,3,Baja California Sur,4,Bovino,6,Leche,18793.000,0.000,1.04,19582.310,0
1992,3,Baja California Sur,6,Caprino,1,Carne,648.000,0.000,9.94,6441.770,0
1992,3,Baja California Sur,6,Caprino,3,Ganado en pie,1540.000,0.000,4.35,6699.000,0
1992,3,Baja California Sur,6,Caprino,6,Leche,3833.000,0.000,1.11,4235.470,0
1992,3,Baja California Sur,12,Ovino,1,Carne,127.000,0.000,9.76,1240.030,0
1992,3,Baja California Sur,12,Ovino,3,Ganado en pie,351.000,0.000,4.63,1625.830,0
1992,3,Baja California Sur,14,Porcino,1,Carne,1169.000,0.000,5.89,6883.070,0
1992,3,Baja California Sur,14,Porcino,3,Ganado en pie,1674.000,0.000,6.00,10037.300,0
1992,4,Campeche,1,Abeja,2,Cera,62.000,0.000,4.19,260.030,0
1992,4,Campeche,1,Abeja,7,Miel,6001.000,0.000,3.28,19671.280,0
1992,4,Campeche,3,Ave     ,1,Carne,4152.000,0.000,4.51,18742.130,0
1992,4,Campeche,3,Ave     ,4,Huevo-plato,562.000,0.000,2.74,1539.880,0
1992,4,Campeche,3,Ave     ,8,Ganado en pie,5372.000,0.000,4.14,22250.820,0
1992,4,Campeche,4,Bovino,1,Carne,16438.000,0.000,8.03,131914.950,0
1992,4,Campeche,4,Bovino,3,Ganado en pie,29417.000,0.000,4.29,126287.180,0
