Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,282.285,0.000,46.50,13127.354,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,116558.913,1.635,30.88,3598847.061,71289855
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo-plato,2796.698,0.000,22.03,61604.741,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,152988.029,2.146,20.60,3152051.130,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,9884.575,254.954,79.88,789618.181,38770
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,17910.544,461.969,42.51,761421.172,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,104576.480,0.000,6.33,661476.665,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,83.171,22.304,66.25,5509.726,3729
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,158.605,42.533,32.94,5223.730,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,357.381,25.173,72.25,25819.582,14197
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,686.214,48.335,35.34,24250.731,0
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,736.604,82.932,42.98,31661.677,8882
2019,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,998.363,112.403,27.58,27537.081,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,50.737,0.000,46.50,2359.468,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,1,Carne,42870.955,1.634,30.11,1290691.472,26230664
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,8,Ganado en pie,56343.466,2.148,20.51,1155339.850,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,514.211,238.946,80.05,41162.126,2152
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,970.100,450.790,41.87,40620.013,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,35828.472,0.000,6.24,223549.332,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,47.547,20.311,66.28,3151.218,2341
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,93.143,39.788,32.16,2995.502,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,52.050,24.928,72.45,3771.004,2088
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,100.068,47.925,35.38,3540.538,0
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,5207.331,83.668,43.05,224179.402,62238
2019,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,6959.847,111.826,27.65,192427.029,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,15.498,0.000,46.50,720.717,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,5716.675,248.865,79.06,451945.446,22971
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,10630.734,462.789,41.93,445757.829,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30547.553,0.000,6.21,189831.596,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.679,21.432,66.34,177.712,125
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,5.091,40.728,31.80,161.869,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,16.158,24.974,73.01,1179.741,647
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,30.839,47.665,35.32,1089.083,0
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,55.556,86.536,41.36,2297.942,642
2019,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,79.806,124.308,25.93,2069.543,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,26.709,0.000,46.50,1242.072,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,1,Carne,19276.462,1.656,30.36,585179.355,11642264
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,8,Ganado en pie,25333.566,2.176,20.02,507058.590,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,3301.061,246.735,79.21,261483.405,13379
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,6142.578,459.121,42.13,258793.724,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,23575.452,0.000,6.23,146816.764,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,3.152,20.601,66.12,208.419,153
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,6.032,39.425,31.98,192.886,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,9.003,24.398,72.82,655.627,369
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,17.162,46.509,35.37,606.952,0
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,54.721,88.833,41.43,2267.173,616
2019,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,78.146,126.860,25.96,2028.651,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,9.345,0.000,46.50,434.578,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,1,Carne,9177.231,1.655,30.98,284343.370,5543599
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,4,Huevo-plato,4390.772,0.000,22.12,97138.272,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,8,Ganado en pie,12068.415,2.177,20.99,253340.190,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,7026.118,248.809,79.58,559170.748,28239
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,12853.581,455.171,42.33,544119.215,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,50751.999,0.000,6.26,317895.615,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,16.683,21.865,66.29,1105.884,763
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,31.838,41.727,32.91,1047.759,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,58.672,24.508,72.47,4251.861,2394
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,3,Ganado en pie,115.005,48.039,35.38,4068.991,0
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,1,Carne,588.571,83.391,42.87,25230.944,7058
2019,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,3,Ganado en pie,792.976,112.351,27.42,21743.379,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,18.942,0.000,46.50,880.877,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave,1,Carne,70232.226,1.574,30.82,2164318.374,44620220
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave,8,Ganado en pie,92051.514,2.063,20.65,1900996.720,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,1,Carne,1140.608,250.243,78.45,89478.386,4558
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,3,Ganado en pie,2123.605,465.907,41.45,88025.280,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,6,Leche,34786.050,0.000,6.24,217169.658,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,1,Carne,14.834,21.655,66.47,986.076,685
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,3,Ganado en pie,28.383,41.435,32.70,928.054,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,1,Carne,70.722,24.885,72.16,5102.963,2842
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,3,Ganado en pie,136.238,47.937,35.24,4801.588,0
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,1,Carne,4936.794,84.378,43.05,212539.898,58508
2019,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,3,Ganado en pie,6610.439,112.984,27.58,182298.728,0
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,10.947,0.000,46.50,509.078,0
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave,1,Carne,28979.850,1.653,30.87,894670.111,17530980
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave,8,Ganado en pie,38094.820,2.173,20.88,795414.800,0
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,1,Carne,3854.326,248.458,79.61,306838.512,15513
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,3,Ganado en pie,7073.031,455.942,42.41,300002.253,0
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,6,Leche,49433.192,0.000,6.27,309792.044,0
2019,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,1,Carne,4.217,21.191,66.20,279.156,199
