Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2000,1,Aguascalientes,1,Abeja,7,Miel,159.000,0.000,18.55,2949.000,0
2000,1,Aguascalientes,3,Ave     ,1,Carne,95871.000,1.687,14.66,1405739.000,56829283
2000,1,Aguascalientes,3,Ave     ,4,Huevo-plato,8559.000,0.000,7.09,60701.000,0
2000,1,Aguascalientes,3,Ave     ,8,Ganado en pie,113658.566,2.000,11.49,1305942.000,0
2000,1,Aguascalientes,4,Bovino,1,Carne,7715.000,200.000,19.36,149333.000,38615
2000,1,Aguascalientes,4,Bovino,3,Ganado en pie,14364.780,372.000,11.30,162292.000,0
2000,1,Aguascalientes,4,Bovino,6,Leche,390527.000,0.000,2.94,1147254.000,0
2000,1,Aguascalientes,6,Caprino,1,Carne,283.000,19.000,31.97,9046.000,14803
2000,1,Aguascalientes,6,Caprino,3,Ganado en pie,547.711,37.000,14.10,7724.000,0
2000,1,Aguascalientes,12,Ovino,1,Carne,230.000,21.000,34.23,7872.000,11022
2000,1,Aguascalientes,12,Ovino,3,Ganado en pie,462.924,42.000,15.67,7255.000,0
2000,1,Aguascalientes,14,Porcino,1,Carne,4061.000,74.000,20.59,83616.000,54638
2000,1,Aguascalientes,14,Porcino,3,Ganado en pie,5463.800,100.000,11.13,60804.000,0
2000,2,Baja California,1,Abeja,2,Cera,21.000,0.000,35.14,738.000,0
2000,2,Baja California,1,Abeja,7,Miel,245.000,0.000,17.10,4189.000,0
2000,2,Baja California,3,Ave     ,1,Carne,297.000,1.619,15.62,4638.000,183447
2000,2,Baja California,3,Ave     ,4,Huevo-plato,6540.000,0.000,7.92,51805.000,0
2000,2,Baja California,3,Ave     ,8,Ganado en pie,379.185,2.067,11.30,4286.000,0
2000,2,Baja California,4,Bovino,1,Carne,59364.000,261.000,23.22,1378495.000,227812
2000,2,Baja California,4,Bovino,3,Ganado en pie,103654.460,455.000,14.42,1494419.000,0
2000,2,Baja California,4,Bovino,6,Leche,241076.000,0.000,3.85,928014.000,0
2000,2,Baja California,6,Caprino,1,Carne,345.000,15.000,30.77,10616.000,23319
2000,2,Baja California,6,Caprino,3,Ganado en pie,699.570,30.000,13.60,9515.000,0
2000,2,Baja California,6,Caprino,6,Leche,345.000,0.000,3.51,1210.000,0
2000,2,Baja California,12,Ovino,1,Carne,99.000,18.000,32.18,3186.000,5607
2000,2,Baja California,12,Ovino,3,Ganado en pie,190.638,34.000,15.58,2970.000,0
2000,2,Baja California,14,Porcino,1,Carne,3703.000,79.000,14.33,53060.000,47671
2000,2,Baja California,14,Porcino,3,Ganado en pie,5053.126,106.000,10.11,51066.000,0
2000,3,Baja California Sur,1,Abeja,2,Cera,10.000,0.000,33.40,334.000,0
2000,3,Baja California Sur,1,Abeja,7,Miel,237.000,0.000,15.36,3640.000,0
2000,3,Baja California Sur,3,Ave     ,1,Carne,284.000,1.553,15.63,4440.000,182872
2000,3,Baja California Sur,3,Ave     ,4,Huevo-plato,1186.000,0.000,8.46,10035.000,0
2000,3,Baja California Sur,3,Ave     ,8,Ganado en pie,358.795,1.962,12.01,4308.000,0
2000,3,Baja California Sur,4,Bovino,1,Carne,6547.000,192.000,21.13,138357.000,34012
2000,3,Baja California Sur,4,Bovino,3,Ganado en pie,12788.512,376.000,10.69,136740.000,0
2000,3,Baja California Sur,4,Bovino,6,Leche,33388.000,0.000,4.12,137543.000,0
2000,3,Baja California Sur,6,Caprino,1,Carne,463.000,16.000,19.62,9085.000,29852
2000,3,Baja California Sur,6,Caprino,3,Ganado en pie,925.412,31.000,11.35,10502.000,0
2000,3,Baja California Sur,6,Caprino,6,Leche,3337.000,0.000,3.34,11149.000,0
2000,3,Baja California Sur,12,Ovino,1,Carne,162.000,15.000,22.12,3583.000,10996
2000,3,Baja California Sur,12,Ovino,3,Ganado en pie,340.876,31.000,11.48,3914.000,0
2000,3,Baja California Sur,14,Porcino,1,Carne,1115.000,74.000,17.92,19984.000,15048
2000,3,Baja California Sur,14,Porcino,3,Ganado en pie,1504.800,100.000,9.57,14405.000,0
2000,4,Campeche,1,Abeja,2,Cera,43.000,0.000,28.23,1214.000,0
2000,4,Campeche,1,Abeja,7,Miel,7593.000,0.000,14.16,107534.000,0
2000,4,Campeche,3,Ave     ,1,Carne,6989.000,1.655,15.56,108770.000,4222961
2000,4,Campeche,3,Ave     ,4,Huevo-plato,4770.000,0.000,7.53,35912.000,0
2000,4,Campeche,3,Ave     ,8,Ganado en pie,8821.766,2.089,12.11,106834.000,0
2000,4,Campeche,4,Bovino,1,Carne,19003.000,192.000,21.14,401635.000,98814
