Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1999,1,Aguascalientes,1,Abeja,2,Cera,2.000,0.000,24.00,48.000,0
1999,1,Aguascalientes,1,Abeja,7,Miel,26.000,0.000,16.50,429.000,0
1999,1,Aguascalientes,3,Ave     ,1,Carne,71221.000,1.767,11.68,831584.000,40306169
1999,1,Aguascalientes,3,Ave     ,4,Huevo-plato,8600.000,0.000,6.36,54662.000,0
1999,1,Aguascalientes,3,Ave     ,8,Ganado en pie,89036.327,2.209,9.44,840500.000,0
1999,1,Aguascalientes,4,Bovino,1,Carne,7473.000,189.000,17.22,128666.000,39459
1999,1,Aguascalientes,4,Bovino,3,Ganado en pie,14165.781,359.000,12.02,170326.000,0
1999,1,Aguascalientes,4,Bovino,6,Leche,394410.000,0.000,2.91,1149397.000,0
1999,1,Aguascalientes,6,Caprino,1,Carne,288.000,19.000,28.99,8348.000,15137
1999,1,Aguascalientes,6,Caprino,3,Ganado en pie,560.069,37.000,13.56,7597.000,0
1999,1,Aguascalientes,12,Ovino,1,Carne,238.000,22.000,31.71,7546.000,10750
1999,1,Aguascalientes,12,Ovino,3,Ganado en pie,451.500,42.000,15.62,7053.000,0
1999,1,Aguascalientes,12,Ovino,5,Lana,26.000,0.000,5.81,151.000,0
1999,1,Aguascalientes,14,Porcino,1,Carne,4452.000,75.000,16.41,73064.000,59079
1999,1,Aguascalientes,14,Porcino,3,Ganado en pie,6085.137,103.000,10.31,62738.000,0
1999,2,Baja California,1,Abeja,2,Cera,20.000,0.000,22.60,452.000,0
1999,2,Baja California,1,Abeja,7,Miel,234.000,0.000,16.05,3756.000,0
1999,2,Baja California,3,Ave     ,1,Carne,141.000,1.612,11.38,1604.000,87469
1999,2,Baja California,3,Ave     ,4,Huevo-plato,6047.000,0.000,6.80,41111.000,0
1999,2,Baja California,3,Ave     ,8,Ganado en pie,167.853,1.919,9.06,1520.000,0
1999,2,Baja California,4,Bovino,1,Carne,51399.000,261.000,22.03,1132438.000,197289
1999,2,Baja California,4,Bovino,3,Ganado en pie,83650.536,424.000,12.47,1043027.000,0
1999,2,Baja California,4,Bovino,6,Leche,230510.000,0.000,3.49,803921.000,0
1999,2,Baja California,6,Caprino,1,Carne,384.000,16.000,31.60,12136.000,24146
1999,2,Baja California,6,Caprino,3,Ganado en pie,796.818,33.000,13.18,10498.000,0
1999,2,Baja California,6,Caprino,6,Leche,329.000,0.000,3.14,1032.000,0
1999,2,Baja California,12,Ovino,1,Carne,70.000,19.000,30.83,2158.000,3640
1999,2,Baja California,12,Ovino,3,Ganado en pie,138.320,38.000,14.79,2045.000,0
1999,2,Baja California,14,Porcino,1,Carne,3760.000,77.000,15.46,58114.000,48666
1999,2,Baja California,14,Porcino,3,Ganado en pie,5109.930,105.000,10.65,54419.000,0
1999,3,Baja California Sur,1,Abeja,2,Cera,8.000,0.000,25.38,203.000,0
1999,3,Baja California Sur,1,Abeja,7,Miel,175.000,0.000,15.86,2776.000,0
1999,3,Baja California Sur,3,Ave     ,1,Carne,398.000,1.574,11.29,4494.000,252859
1999,3,Baja California Sur,3,Ave     ,4,Huevo-plato,1996.000,0.000,7.06,14082.000,0
1999,3,Baja California Sur,3,Ave     ,8,Ganado en pie,500.661,1.980,9.31,4659.000,0
1999,3,Baja California Sur,4,Bovino,1,Carne,5506.000,177.000,22.52,124002.000,31065
1999,3,Baja California Sur,4,Bovino,3,Ganado en pie,10593.165,341.000,11.73,124221.000,0
1999,3,Baja California Sur,4,Bovino,6,Leche,32163.000,0.000,3.42,110109.000,0
1999,3,Baja California Sur,6,Caprino,1,Carne,439.000,14.000,29.52,12957.000,31451
1999,3,Baja California Sur,6,Caprino,3,Ganado en pie,880.628,28.000,14.76,12995.000,0
1999,3,Baja California Sur,6,Caprino,6,Leche,2862.000,0.000,3.21,9172.000,0
1999,3,Baja California Sur,12,Ovino,1,Carne,139.000,15.000,20.83,2895.000,9555
1999,3,Baja California Sur,12,Ovino,3,Ganado en pie,277.095,29.000,12.95,3587.000,0
1999,3,Baja California Sur,14,Porcino,1,Carne,1079.000,74.000,16.22,17504.000,14624
1999,3,Baja California Sur,14,Porcino,3,Ganado en pie,1579.392,108.000,10.06,15883.000,0
1999,4,Campeche,1,Abeja,2,Cera,22.000,0.000,25.73,566.000,0
1999,4,Campeche,1,Abeja,7,Miel,4397.000,0.000,15.00,65941.000,0
1999,4,Campeche,3,Ave     ,1,Carne,6784.000,1.604,12.08,81929.000,4229426
1999,4,Campeche,3,Ave     ,4,Huevo-plato,4416.000,0.000,6.29,27794.000,0
1999,4,Campeche,3,Ave     ,8,Ganado en pie,8632.258,2.041,9.23,79673.000,0
1999,4,Campeche,4,Bovino,1,Carne,17891.000,225.000,18.22,325921.000,79420
1999,4,Campeche,4,Bovino,3,Ganado en pie,34309.440,432.000,10.97,376377.000,0
1999,4,Campeche,4,Bovino,6,Leche,19977.000,0.000,3.06,61105.000,0
1999,4,Campeche,6,Caprino,1,Carne,10.000,16.000,27.80,278.000,623
1999,4,Campeche,6,Caprino,3,Ganado en pie,21.182,34.000,13.79,292.000,0
1999,4,Campeche,10,Guajolote,1,Carne,190.000,5.144,22.53,4281.000,36936
1999,4,Campeche,10,Guajolote,8,Ganado en pie,254.341,6.886,16.43,4178.000,0
1999,4,Campeche,12,Ovino,1,Carne,188.000,17.000,19.65,3695.000,10890
1999,4,Campeche,12,Ovino,3,Ganado en pie,359.370,33.000,12.20,4383.000,0
