Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1990,1,Aguascalientes,1,Abeja,2,Cera,12.000,0.000,7.33,88.000,0
1990,1,Aguascalientes,1,Abeja,7,Miel,226.000,0.000,5.96,1346.960,0
1990,1,Aguascalientes,3,Ave     ,1,Carne,19244.000,0.000,5.95,114540.290,0
1990,1,Aguascalientes,3,Ave     ,4,Huevo-plato,4533.000,0.000,2.54,11527.420,0
1990,1,Aguascalientes,3,Ave     ,8,Ganado en pie,22853.000,0.000,3.51,80282.590,0
1990,1,Aguascalientes,4,Bovino,1,Carne,7185.000,0.000,7.13,51236.240,0
1990,1,Aguascalientes,4,Bovino,3,Ganado en pie,13192.000,0.000,3.36,44259.160,0
1990,1,Aguascalientes,4,Bovino,6,Leche,183106.000,0.000,1.06,193909.250,0
1990,1,Aguascalientes,6,Caprino,1,Carne,449.000,0.000,9.48,4257.870,0
1990,1,Aguascalientes,6,Caprino,3,Ganado en pie,960.000,0.000,3.52,3381.120,0
1990,1,Aguascalientes,12,Ovino,1,Carne,349.000,0.000,9.53,3325.970,0
1990,1,Aguascalientes,12,Ovino,3,Ganado en pie,840.000,0.000,4.00,3363.360,0
1990,1,Aguascalientes,12,Ovino,5,Lana,48.000,0.000,6.00,288.000,0
1990,1,Aguascalientes,14,Porcino,1,Carne,4492.000,0.000,6.50,29198.000,0
1990,1,Aguascalientes,14,Porcino,3,Ganado en pie,6392.000,0.000,3.74,23925.260,0
1990,2,Baja California,1,Abeja,7,Miel,139.000,0.000,6.17,856.940,0
1990,2,Baja California,3,Ave     ,1,Carne,2730.000,0.000,5.24,14294.280,0
1990,2,Baja California,3,Ave     ,4,Huevo-plato,14201.000,0.000,2.75,39109.550,0
1990,2,Baja California,3,Ave     ,8,Ganado en pie,3412.000,0.000,4.06,13862.960,0
1990,2,Baja California,4,Bovino,1,Carne,44510.000,0.000,8.10,360620.020,0
1990,2,Baja California,4,Bovino,3,Ganado en pie,81328.000,0.000,3.83,311160.930,0
1990,2,Baja California,4,Bovino,6,Leche,171817.000,0.000,1.16,199994.990,0
