Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1986,1,Aguascalientes,1,Abeja,2,Cera,7.000,0.000,2.14,15.000,0
1986,1,Aguascalientes,1,Abeja,7,Miel,70.000,0.000,1.73,121.000,0
1986,1,Aguascalientes,3,Ave     ,1,Carne,7127.000,0.000,0.84,5958.000,0
1986,1,Aguascalientes,3,Ave     ,4,Huevo-plato,8652.000,0.000,0.50,4291.000,0
1986,1,Aguascalientes,3,Ave     ,8,Ganado en pie,8384.000,0.000,0.62,5172.930,0
1986,1,Aguascalientes,4,Bovino,1,Carne,5738.000,0.000,0.61,3517.000,0
1986,1,Aguascalientes,4,Bovino,3,Ganado en pie,10270.000,0.000,0.32,3255.590,0
1986,1,Aguascalientes,4,Bovino,6,Leche,205659.000,0.000,0.14,29204.000,0
1986,1,Aguascalientes,6,Caprino,1,Carne,395.000,0.000,0.86,341.000,0
1986,1,Aguascalientes,6,Caprino,3,Ganado en pie,900.000,0.000,0.50,451.800,0
1986,1,Aguascalientes,6,Caprino,6,Leche,1215.000,0.000,0.14,169.000,0
1986,1,Aguascalientes,12,Ovino,1,Carne,189.000,0.000,0.96,182.000,0
1986,1,Aguascalientes,12,Ovino,3,Ganado en pie,451.000,0.000,0.37,168.220,0
1986,1,Aguascalientes,12,Ovino,5,Lana,43.000,0.000,0.35,15.000,0
1986,1,Aguascalientes,14,Porcino,1,Carne,4972.000,0.000,0.75,3729.000,0
1986,1,Aguascalientes,14,Porcino,3,Ganado en pie,7313.000,0.000,0.37,2669.250,0
1986,2,Baja California,1,Abeja,7,Miel,164.000,0.000,1.72,282.000,0
1986,2,Baja California,3,Ave     ,1,Carne,5217.000,0.000,0.82,4278.000,0
1986,2,Baja California,3,Ave     ,4,Huevo-plato,20752.000,0.000,0.50,10272.000,0
1986,2,Baja California,3,Ave     ,8,Ganado en pie,6041.000,0.000,0.49,2929.890,0
1986,2,Baja California,4,Bovino,1,Carne,36304.000,0.000,0.87,31403.000,0
1986,2,Baja California,4,Bovino,3,Ganado en pie,65352.000,0.000,0.46,30257.980,0
1986,2,Baja California,4,Bovino,6,Leche,206094.000,0.000,0.14,29059.000,0
1986,2,Baja California,6,Caprino,1,Carne,247.000,0.000,0.63,155.000,0
1986,2,Baja California,6,Caprino,3,Ganado en pie,684.000,0.000,0.54,370.040,0
1986,2,Baja California,6,Caprino,6,Leche,1206.000,0.000,0.13,162.000,0
1986,2,Baja California,12,Ovino,1,Carne,127.000,0.000,0.86,109.000,0
1986,2,Baja California,12,Ovino,3,Ganado en pie,350.000,0.000,0.53,185.850,0
1986,2,Baja California,14,Porcino,1,Carne,8245.000,0.000,0.82,6728.000,0
1986,2,Baja California,14,Porcino,3,Ganado en pie,11439.000,0.000,0.36,4083.720,0
1986,3,Baja California Sur,1,Abeja,2,Cera,9.000,0.000,2.22,20.000,0
1986,3,Baja California Sur,1,Abeja,7,Miel,116.000,0.000,1.68,195.000,0
1986,3,Baja California Sur,3,Ave     ,1,Carne,1282.000,0.000,0.52,664.000,0
1986,3,Baja California Sur,3,Ave     ,4,Huevo-plato,3077.000,0.000,0.49,1492.000,0
1986,3,Baja California Sur,3,Ave     ,8,Ganado en pie,1522.000,0.000,0.38,571.790,0
1986,3,Baja California Sur,4,Bovino,1,Carne,4662.000,0.000,0.85,3953.000,0
1986,3,Baja California Sur,4,Bovino,3,Ganado en pie,8316.000,0.000,0.39,3218.290,0
1986,3,Baja California Sur,4,Bovino,6,Leche,9827.000,0.000,0.14,1395.000,0
1986,3,Baja California Sur,6,Caprino,1,Carne,249.000,0.000,0.83,207.000,0
1986,3,Baja California Sur,6,Caprino,3,Ganado en pie,748.000,0.000,0.67,500.410,0
1986,3,Baja California Sur,6,Caprino,6,Leche,818.000,0.000,0.13,108.000,0
1986,3,Baja California Sur,12,Ovino,1,Carne,37.000,0.000,0.81,30.000,0
1986,3,Baja California Sur,12,Ovino,3,Ganado en pie,105.000,0.000,0.50,52.290,0
1986,3,Baja California Sur,14,Porcino,1,Carne,687.000,0.000,0.85,585.000,0
1986,3,Baja California Sur,14,Porcino,3,Ganado en pie,890.000,0.000,0.38,335.530,0
1986,4,Campeche,1,Abeja,2,Cera,315.000,0.000,2.12,669.000,0
