Volumen,Precio,Precio1,1overv_i,Nomestado
3028.1738379888275,43.623519553072626,-43.623519553072626,0.00033023203207651827,Aguascalientes
23000.372210526315,32.214842105263166,-32.214842105263166,4.347755726937069e-05,Baja California
2130.2967789473687,35.391789473684206,-35.391789473684206,0.000469418162709763,Baja California Sur
3446.4815024154595,36.39376811594203,-36.39376811594203,0.0002901509842136544,Campeche
2201.180713510253,37.562255729794934,-37.562255729794934,0.0004543016363273901,Chiapas
2827.3714667349027,49.03440122824974,-49.03440122824974,0.00035368539711367225,Chihuahua
81.86392857142857,68.11214285714286,-68.11214285714286,0.012215392266784166,Ciudad de México
84.61714285714285,67.53285714285714,-67.53285714285714,0.011817936250675311,Ciudad de México / D.F.
2825.414283662478,45.2586355475763,-45.2586355475763,0.0003539303973163673,Coahuila
2259.635381818182,44.88787878787878,-44.88787878787878,0.0004425492750053174,Colima
484.2942254901961,30.753039215686275,-30.753039215686275,0.0020648604657381854,Distrito Federal
3951.9523975481616,45.172697022767075,-45.172697022767075,0.00025303948514673706,Durango
2194.673100149477,46.17780269058296,-46.17780269058296,0.0004556487250569987,Guanajuato
1231.2614606060604,43.385835497835494,-43.385835497835494,0.0008121751813037117,Guerrero
882.3545828476271,48.46378018318069,-48.46378018318069,0.00113333122470186,Hidalgo
3789.361386376646,48.089662278191184,-48.089662278191184,0.0002638967092437154,Jalisco
1375.6437413151366,42.05949751861042,-42.05949751861042,0.0007269323953336818,Michoacán
428.43347227926085,42.86677618069815,-42.86677618069815,0.0023340846705557626,Morelos
859.0515147143681,47.70151759953837,-47.70151759953837,0.0011640745436931066,México
2575.319095081967,46.04695081967213,-46.04695081967213,0.0003883013960909462,Nayarit
2134.8969890625,47.43090625,-47.43090625,0.0004684066749464719,Nuevo León
371.0073343215508,50.00257012542759,-50.00257012542759,0.00269536450493268,Oaxaca
418.16371316563215,36.96500163345312,-36.96500163345312,0.002391407882883195,Puebla
3041.672061371841,43.782021660649825,-43.782021660649825,0.00032876654018677625,Querétaro
785.4144649681529,46.83490445859873,-46.83490445859873,0.001273213118172643,Quintana Roo
2091.8102808460635,49.98633372502937,-49.98633372502937,0.00047805482607893833,San Luis Potosí
7653.863943217666,42.03561514195584,-42.03561514195584,0.00013065296266288247,Sinaloa
2599.729169793621,57.86315196998123,-57.86315196998123,0.0003846554524290639,Sonora
9299.348186311787,41.18319391634981,-41.18319391634981,0.00010753441853827498,Tabasco
3265.5160701754385,44.3025677830941,-44.3025677830941,0.00030623031046552937,Tamaulipas
323.9540323699422,44.529722543352605,-44.529722543352605,0.003086857702262033,Tlaxcala
2746.2542810030923,44.391717622810035,-44.391717622810035,0.0003641323408824115,Veracruz
740.6155931080185,44.79204108681246,-44.79204108681246,0.0013502281201013687,Yucatán
1832.4935622009566,46.0924043062201,-46.0924043062201,0.0005457045092147162,Zacatecas
